               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12048,            0.080831,                   0,            0.016863,             0.40662,            0.017155,           0.0035921,             0.12443,            0.041606,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11812,            0.088764,                   0,            0.019314,             0.46572,            0.023429,           0.0046591,             0.12086,            0.043859,                   0,            0.093694,           0.0006937,           0.0006937
                   2,             0.11316,              0.1094,                   0,            0.053745,              0.3026,            0.048956,            0.010524,             0.11342,            0.047435,                   0,             0.09008,           0.0010802,           0.0010802
                   3,              0.1048,             0.09466,                   0,             0.14352,             0.29314,              0.0975,            0.024268,             0.10155,            0.051896,                   0,             0.08646,           0.0014595,           0.0014595
                   4,            0.097724,             0.13294,                   0,              0.1832,             0.34891,             0.15659,            0.044504,            0.087143,            0.056936,                   0,            0.082832,           0.0018316,           0.0018316
                   5,             0.08953,             0.10217,                   0,             0.22654,             0.41608,             0.19678,            0.053242,            0.079441,            0.058984,                   0,            0.079197,           0.0021965,           0.0021965
                   6,            0.087663,             0.10833,                   0,             0.29568,             0.50827,             0.29171,             0.09177,            0.072563,            0.062391,                   0,            0.075554,           0.0025542,           0.0025542
                   7,            0.080884,             0.10769,                   0,             0.45779,             0.56028,             0.47679,             0.18912,             0.06618,            0.085592,                   0,            0.071905,           0.0029047,           0.0029047
                   8,            0.075926,             0.11131,                   0,             0.34967,             0.67495,             0.54217,             0.21964,            0.065346,             0.11076,                   0,            0.068248,            0.003248,            0.003248
                   9,            0.071758,            0.093969,                   0,             0.25301,             0.49884,             0.26216,             0.07708,            0.064086,            0.067732,                   0,            0.064584,           0.0035841,           0.0035841
                  10,            0.066637,            0.094082,                   0,             0.37403,             0.65248,              0.4416,             0.14204,            0.062085,            0.072626,                   0,            0.060913,            0.003913,            0.003913
                  11,            0.066316,            0.098348,                   0,             0.42383,             0.66667,             0.51135,             0.22133,            0.057021,            0.073541,                   0,            0.057235,           0.0042347,           0.0042347
                  12,            0.063919,            0.092674,                   0,             0.35477,             0.66903,             0.45022,             0.19356,            0.058711,            0.078996,                   0,            0.053549,           0.0045492,           0.0045492
                  13,            0.064336,            0.090794,                   0,             0.41245,             0.70449,             0.55236,             0.32063,            0.054939,            0.069299,                   0,            0.049857,           0.0048565,           0.0048565
                  14,            0.065408,            0.090375,                   0,             0.57667,             0.68595,             0.65087,                0.21,            0.055458,            0.062319,                   0,            0.046157,           0.0051566,           0.0051566
                  15,            0.065876,            0.075699,                   0,             0.66526,             0.74941,             0.73337,             0.38471,            0.051556,            0.053906,                   0,             0.04245,           0.0054495,           0.0054495
                  16,            0.065322,            0.086234,                   0,             0.68099,             0.78251,             0.77936,             0.34574,            0.047988,            0.052973,                   0,            0.038735,           0.0057352,           0.0057352
                  17,            0.062899,             0.10017,                   0,             0.58516,             0.78251,             0.73491,             0.36067,            0.048621,            0.054809,                   0,            0.035014,           0.0060137,           0.0060137
                  18,            0.063988,            0.080319,                   0,             0.80839,             0.79791,             0.85131,             0.45724,            0.047323,            0.051079,                   0,            0.031285,            0.006285,            0.006285
                  19,            0.062313,             0.10967,                   0,              0.5343,             0.67376,             0.65452,             0.40274,             0.05672,            0.052322,                   0,            0.027549,           0.0065491,           0.0065491
                  20,             0.06555,             0.10255,                   0,             0.71779,             0.72756,             0.78683,             0.46105,            0.046121,             0.05459,                   0,            0.023806,            0.006806,            0.006806
                  21,            0.060622,            0.090823,                   0,             0.61313,             0.70213,             0.74733,             0.35676,            0.050773,             0.05645,                   0,            0.020056,           0.0070557,           0.0070557
                  22,            0.061543,            0.081481,                   0,             0.69819,             0.72577,             0.77412,             0.40958,            0.051056,            0.052792,                   0,            0.016298,           0.0072982,           0.0072982
                  23,              0.0627,            0.094698,                   0,             0.61363,             0.71395,             0.72617,             0.39593,            0.051867,            0.051334,                   0,            0.012534,           0.0075335,           0.0075335
                  24,            0.058361,            0.095324,                   0,             0.56725,              0.7565,             0.73135,             0.28348,            0.045856,            0.054491,                   0,           0.0087616,           0.0077616,           0.0077616
                  25,            0.066901,            0.088894,                   0,             0.63928,             0.71395,             0.73954,             0.36368,            0.045067,            0.049529,                   0,             0.00775,             0.00775,             0.00775
                  26,             0.05526,            0.073191,                   0,             0.54863,              0.6974,             0.63649,             0.25669,            0.045615,            0.066736,                   0,             0.00775,             0.00775,             0.00775
                  27,            0.055996,            0.074528,                   0,             0.73202,             0.71681,             0.79732,             0.49008,            0.038085,            0.064076,                   0,             0.00766,             0.00766,             0.00766
                  28,            0.052789,            0.079145,                   0,              0.8263,             0.83688,             0.88998,             0.58659,            0.034906,            0.056191,                   0,             0.00757,             0.00757,             0.00757
                  29,            0.050188,            0.093287,                   0,             0.63719,             0.79905,             0.83448,             0.55734,            0.044188,            0.056668,                   0,             0.00748,             0.00748,             0.00748
                  30,            0.055345,            0.080899,                   0,             0.72382,             0.77541,             0.84189,             0.41574,            0.037999,            0.047193,                   0,             0.00739,             0.00739,             0.00739
                  31,            0.051579,            0.094467,                   0,             0.85705,             0.86457,             0.91562,              0.4105,            0.038454,            0.056107,                   0,              0.0073,              0.0073,              0.0073
                  32,            0.052591,            0.084262,                   0,             0.53156,             0.52955,             0.49827,             0.24594,            0.046117,             0.22465,                   0,             0.00721,             0.00721,             0.00721
                  33,            0.050509,            0.085362,                   0,             0.61836,             0.76123,             0.74572,             0.35694,            0.038716,               0.112,                   0,             0.00712,             0.00712,             0.00712
                  34,            0.050031,             0.11513,                   0,             0.63081,             0.75131,             0.69873,             0.43298,             0.03507,             0.13161,                   0,             0.00703,             0.00703,             0.00703
                  35,            0.046368,            0.088511,                   0,             0.71485,             0.83215,             0.80431,             0.44844,             0.03417,             0.06994,                   0,             0.00694,             0.00694,             0.00694
                  36,            0.045804,            0.082369,                   0,             0.78252,             0.87707,             0.87767,             0.55854,            0.031336,            0.052164,                   0,             0.00685,             0.00685,             0.00685
                  37,            0.050233,            0.098622,                   0,             0.79046,             0.81324,             0.84679,             0.56022,            0.029247,            0.069246,                   0,             0.00676,             0.00676,             0.00676
                  38,            0.047979,             0.12262,                   0,             0.84211,             0.86998,             0.89783,             0.60319,            0.032831,            0.063612,                   0,             0.00667,             0.00667,             0.00667
                  39,            0.043247,            0.086896,                   0,             0.82444,             0.85579,             0.87211,             0.62436,            0.029966,            0.062239,                   0,             0.00658,             0.00658,             0.00658
                  40,            0.042353,             0.08922,                   0,             0.82644,             0.90053,             0.90364,             0.61629,            0.030607,            0.051913,                   0,             0.00649,             0.00649,             0.00649
                  41,             0.04247,            0.076667,                   0,             0.89947,             0.90949,              0.9215,             0.66117,            0.028199,             0.04049,                   0,              0.0064,              0.0064,              0.0064
                  42,             0.04015,            0.081844,                   0,             0.89182,             0.89652,             0.92442,             0.59681,            0.029834,            0.039823,                   0,             0.00631,             0.00631,             0.00631
                  43,            0.044796,            0.080647,                   0,             0.90904,             0.91253,             0.93622,             0.60046,            0.030447,            0.038315,                   0,             0.00622,             0.00622,             0.00622
                  44,            0.047317,            0.079254,                   0,             0.87924,             0.92947,              0.9374,             0.68555,             0.02773,             0.03699,                   0,             0.00613,             0.00613,             0.00613
                  45,            0.038531,             0.08456,                   0,             0.89095,             0.90782,             0.93666,             0.66195,            0.026905,            0.037971,                   0,             0.00604,             0.00604,             0.00604
                  46,             0.04196,            0.087477,                   0,             0.91297,             0.90071,             0.93502,             0.62295,            0.029805,            0.037595,                   0,             0.00595,             0.00595,             0.00595
                  47,            0.038386,            0.092886,                   0,             0.91877,             0.89125,             0.93116,             0.68763,            0.028499,            0.037081,                   0,             0.00586,             0.00586,             0.00586
